Protein IDs,Protein names,Gene names,Fasta headers,rim15KO_C_T00_R1,rim15KO_C_T00_R2,rim15KO_C_T00_R3,rim15KO_C_T06_R1,rim15KO_C_T06_R2,rim15KO_C_T06_R3,rim15KO_C_T16_R1,rim15KO_C_T16_R2,rim15KO_C_T16_R3,rim15KO_C_T30_R1,rim15KO_C_T30_R2,rim15KO_C_T30_R3,rim15KO_P_T00_R1,rim15KO_P_T00_R2,rim15KO_P_T00_R3,rim15KO_P_T06_R1,rim15KO_P_T06_R2,rim15KO_P_T06_R3,rim15KO_P_T16_R1,rim15KO_P_T16_R2,rim15KO_P_T16_R3,rim15KO_P_T30_R1,rim15KO_P_T30_R2,rim15KO_P_T30_R3,WT_C_T00_R1,WT_C_T00_R2,WT_C_T00_R3,WT_C_T06_R1,WT_C_T06_R2,WT_C_T06_R3,WT_C_T16_R1,WT_C_T16_R2,WT_C_T16_R3,WT_C_T30_R1,WT_C_T30_R2,WT_C_T30_R3,WT_P_T00_R1,WT_P_T00_R2,WT_P_T00_R3,WT_P_T06_R1,WT_P_T06_R2,WT_P_T06_R3,WT_P_T16_R1,WT_P_T16_R2,WT_P_T16_R3,WT_P_T30_R1,WT_P_T30_R2,WT_P_T30_R3,WT/rim15KO_C_T00_R1,WT/rim15KO_C_T00_R2,WT/rim15KO_C_T00_R3,WT/rim15KO_C_T06_R1,WT/rim15KO_C_T06_R2,WT/rim15KO_C_T06_R3,WT/rim15KO_C_T16_R1,WT/rim15KO_C_T16_R2,WT/rim15KO_C_T16_R3,WT/rim15KO_C_T30_R1,WT/rim15KO_C_T30_R2,WT/rim15KO_C_T30_R3,WT/rim15KO_P_T00_R1,WT/rim15KO_P_T00_R2,WT/rim15KO_P_T00_R3,WT/rim15KO_P_T06_R1,WT/rim15KO_P_T06_R2,WT/rim15KO_P_T06_R3,WT/rim15KO_P_T16_R1,WT/rim15KO_P_T16_R2,WT/rim15KO_P_T16_R3,WT/rim15KO_P_T30_R1,WT/rim15KO_P_T30_R2,WT/rim15KO_P_T30_R3
P16622,"Ferrochelatase, mitochondrial",HEM15,"sp|P16622|HEMH_YEAST Ferrochelatase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HEM15 PE=1 SV=1",0.92588,1.0162,1.1054,1.1476,1.0209,0.96378,1.0587,1.1544,0.92192,0.86734,1.0261,0.86324,0.92588,0.95289,1.1054,0.83858,0.83012,0.78452,0.66901,0.72459,0.84001,0.65489,0.76564,0.76183,0.99337,0.95289,1.0854,1.0785,1.1592,1.1962,0.95906,1.1492,1.1251,1.0888,0.88561,1.1487,0.99337,1.0162,1.0854,0.88336,0.99021,0.8628,0.80008,0.94868,0.92544,0.64589,0.82621,0.89413,1.041,1.005,1.0474,1.0388,1.1053,1.0715,0.95772,0.81127,1.2515,1.1879,0.90571,1.2618,1.041,0.9950248756218907,1.0474,1.1143,1.156497201276773,1.1236,1.1848,1.236690122555991,1.1182,1.1571,1.1533626287441034,1.1009
P16603,NADPH--cytochrome P450 reductase,NCP1,sp|P16603|NCPR_YEAST NADPH--cytochrome P450 reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NCP1 PE=1 SV=3,1.0434,1.0162,1.0787,1.0342,1.0014,0.98118,0.93156,0.88913,0.94798,1.0468,0.80218,0.95349,1.0434,0.98987,1.0787,0.76201,0.7048,0.76857,0.63092,0.68149,0.72931,0.6394,0.57468,0.6581,1.0385,0.98987,1.1144,0.9776,0.95251,1.0272,0.89564,0.94346,0.92912,0.84406,0.91395,0.94489,1.0385,1.0162,1.1144,0.6726,0.70686,0.71355,0.55647,0.60593,0.60531,0.46576,0.4933,0.52092,0.98985,0.98546,1.0092,0.95583,1.0139,1.0234,0.94518,1.1371,1.0104,0.93613,1.0997,0.97665,0.98985,1.0147545308789803,1.0092,0.89354,0.9997000899730081,0.89965,0.81681,0.8976660682226211,0.8312,0.73678,0.8177283506419167,0.79543
P16550,"Protein APA1;5,5-P-1,P-4-tetraphosphate phosphorylase;ADP-sulfurylase",APA1,sp|P16550|APA1_YEAST Protein APA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=APA1 PE=1 SV=4,1.0297,1.0247,1.0415,1.0622,1.0331,1.0914,1.0426,1.0649,0.85603,0.96264,0.95155,0.90149,1.0297,1.0012,1.0415,0.84474,0.83913,0.79931,0.67763,0.7967,0.78508,0.64499,0.68259,0.64859,0.99803,1.0012,0.96263,1.071,1.0246,0.95868,1.0609,1.115,0.97926,0.97627,0.97987,1.0251,0.99803,1.0247,0.96263,0.91163,0.90509,0.80608,0.70173,0.84,0.77812,0.6956,0.76342,0.72746,1.0129,0.95452,0.94105,1.0429,1.0008,0.9077,1.0804,1.0941,0.94813,1.0479,1.053,0.96626,1.0129,1.0476469848719776,0.94105,0.9785,1.0198254058905116,0.97424,1.0035,1.036602431869305,0.98282,1.0557,1.0175942037834154,1.023
P16547,Mitochondrial outer membrane protein OM45,OM45,sp|P16547|OM45_YEAST Mitochondrial outer membrane protein OM45 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OM45 PE=1 SV=2,0.70191,1.1077,0.73847,8.5301,9.9173,8.5257,21.818,32.408,15.699,19.846,32.505,16.542,0.70191,0.78689,0.73847,2.1225,2.1777,1.9299,1.4269,0.97743,1.1993,1.6206,1.1101,1.0383,1.0384,0.78689,1.2798,8.1024,4.3419,11.483,14.524,3.994,11.592,12.396,4.9803,15.393,1.0384,1.1077,1.2798,4.359,5.2771,4.6807,2.5225,2.9811,2.6496,2.6063,3.3284,2.2425,1.5107,0.66024,1.314,1.0007,0.45454,1.3544,1.0597,0.17756,0.88806,0.86535,0.1574,0.97758,1.5107,1.5146007512419726,1.314,2.1375,2.4695016545661086,2.3694,2.0531,3.3126842680624105,2.0179,1.8516,2.9850746268656714,1.913
P16521,Elongation factor 3A,YEF3,sp|P16521|EF3A_YEAST Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YEF3 PE=1 SV=4,1.0408,1.0337,1.0405,0.70801,0.70508,0.70573,0.45075,0.50281,0.42754,0.3306,0.45155,0.33241,1.0408,0.9149,1.0405,0.67744,0.70976,0.6931,0.51345,0.63853,0.61508,0.50619,0.57122,0.50949,0.98684,0.9149,1.0557,0.73787,0.78321,0.69085,0.52312,0.50193,0.49256,0.49807,0.42327,0.46831,0.98684,1.0337,1.0557,0.69603,0.74419,0.68271,0.4836,0.55199,0.59595,0.42623,0.47789,0.52876,0.95775,0.88885,1.0111,1.0157,1.0896,0.94793,1.2388,1.0278,1.1509,1.4871,0.9116,1.3684,0.95775,1.1250492209034144,1.0111,1.0092,0.9991008092716556,0.97311,0.92051,0.8339588024351596,0.93051,0.8457,0.8149959250203749,0.94315
P16474,78 kDa glucose-regulated protein homolog,KAR2,sp|P16474|BIP_YEAST Endoplasmic reticulum chaperone BiP OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KAR2 PE=1 SV=1,1.0362,0.96908,1.1939,0.94623,0.87103,1.0259,0.84466,0.82263,0.82285,0.70844,0.78781,0.85302,1.0362,1.112,1.1939,0.84619,0.86518,0.87543,0.67601,0.77083,0.73312,0.5468,0.64685,0.61312,1.0364,1.112,1.1616,0.92023,1.0035,1.0385,0.74709,0.89726,0.85314,0.72803,0.7849,0.93069,1.0364,0.96908,1.1616,0.85674,0.8187,0.91994,0.63874,0.65005,0.67848,0.50412,0.4804,0.4981,1.0155,1.1446,0.98703,0.97639,1.1743,0.98818,0.8697,1.0961,1.0243,0.95992,0.94083,1.0998000000000001,1.0155,0.8736676568233444,0.98703,0.98038,0.9726680284019065,1.0151,0.91896,0.8106355382619974,0.86241,0.89113,0.7341604874825637,0.79315
P16467,Pyruvate decarboxylase isozyme 2,PDC5,sp|P16467|PDC5_YEAST Pyruvate decarboxylase isozyme 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC5 PE=1 SV=4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.99153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5797039634772445,NaN
P16451,"Pyruvate dehydrogenase complex protein X component, mitochondrial",PDX1,"sp|P16451|ODPX_YEAST Pyruvate dehydrogenase complex protein X component, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDX1 PE=1 SV=1",1.0563,1.04,1.1105,1.1943,1.4019,1.1876,1.3868,NaN,NaN,1.48,NaN,0.96443,1.0563,1.2038,1.1105,1.2466,1.209,1.121,1.1883,1.2889,1.0366,0.98883,1.189,1.1211,1.0242,1.2038,1.2798,1.4353,1.3527,1.7658,1.3636,NaN,NaN,1.3533,NaN,1.7013,1.0242,1.04,1.2798,1.3554,1.1707,1.0211,1.3159,1.1428,1.037,1.1821,0.74562,0.9266,1.0345,1.0049,1.1597,1.0728,0.97268,1.6359,0.94519,NaN,NaN,0.8425,NaN,1.3762,1.0345,0.9951238929246692,1.1597,1.0453,0.9045680687471733,0.87206,0.73793,0.7472166180975864,0.85169,1.1315,0.7538067239559777,0.86282
P16387,"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial",PDA1,"sp|P16387|ODPA_YEAST Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDA1 PE=1 SV=2",0.95401,0.98098,0.93798,1.2026,1.1591,1.5302,1.5538,1.3463,1.822,1.6438,1.2649,1.6217,0.95401,0.97237,0.93798,1.2537,1.2647,1.2164,1.1773,1.2688,1.1389,1.1777,1.1453,1.0569,0.97155,0.97237,0.93474,1.1927,1.1568,1.1189,1.4036,1.1783,1.204,1.3082,1.1558,1.2163,0.97155,0.98098,0.93474,1.2771,1.1195,1.1741,1.0525,1.1108,1.0271,0.97054,0.93231,0.95809,1.009,1.0173,0.94485,0.81484,0.9643,0.82987,0.97351,0.81463,0.72074,0.85021,0.85362,0.76138,1.009,0.9829942003342179,0.94485,0.91825,0.9292816652727441,0.90941,0.85327,0.9023641941887746,0.90487,0.78878,0.8090614886731392,0.84471
P16370,DNA-directed RNA polymerase II subunit RPB3,RPB3,sp|P16370|RPB3_YEAST DNA-directed RNA polymerase II subunit RPB3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPB3 PE=1 SV=2,1.0388,0.93195,0.94612,1.3812,1.1959,1.0427,1.149,0.89779,NaN,NaN,0.94414,1.3698,1.0388,0.95261,0.94612,0.78274,0.78484,0.80019,0.74178,0.89568,0.7485,0.7172,0.91499,0.7348,0.94814,0.95261,0.78635,1.0529,0.88661,0.85999,1.1731,0.92904,NaN,NaN,0.94779,1.1321,0.94814,0.93195,0.78635,0.71202,0.80904,0.9033,0.69325,0.87296,0.70707,0.7937,0.80328,0.73955,0.90997,0.92717,0.87879,0.84005,0.90085,0.67717,0.87089,1.0114,NaN,NaN,0.93842,0.76377,0.90997,1.078550859065759,0.87879,0.8798,1.0067553282525747,1.0164,1.0287,0.9288500835965076,1.0599,1.3689,0.9333582228859437,1.05
P16140,V-type proton ATPase subunit B,VMA2,sp|P16140|VATB_YEAST V-type proton ATPase subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA2 PE=1 SV=2,0.99541,0.97607,0.97277,1.0072,1.0057,1.0298,1.065,0.98589,0.94426,1.0884,0.93304,1.0139,0.99541,0.93044,0.97277,0.924,0.93701,0.91164,0.91115,0.91046,0.92934,0.83694,0.90492,0.91613,0.98019,0.93044,0.95823,1.0355,0.98322,1.0343,1.0139,1.0301,1.0101,1.0117,1.0422,1.0301,0.98019,0.97607,0.95823,0.93836,0.95754,0.98886,0.86585,0.87104,0.86477,0.87184,0.77937,0.81428,0.96882,0.95343,0.97655,1.0133,1.0084,0.98391,0.94476,1.043,1.056,0.96293,1.0659,1.0774,0.96882,1.0488446975656314,0.97655,0.96767,1.0240340798541776,0.9975,0.99596,0.963298333493883,0.90704,1.0089,0.8788890841975743,0.84222
P16120,Threonine synthase,THR4,sp|P16120|THRC_YEAST Threonine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=THR4 PE=1 SV=1,1.05,1.0082,1.022,1.0935,0.99943,1.0695,1.2065,1.0085,1.0713,1.1178,0.90993,1.2412,1.05,1.0992,1.022,1.0624,1.0828,1.0342,0.81916,0.97952,0.92528,0.913,0.87619,0.83837,1.0006,1.0992,0.9195,0.98769,1.02,0.93701,1.0136,0.98267,0.85665,0.92791,0.99341,0.92872,1.0006,1.0082,0.9195,1.0395,0.97841,0.95167,0.826,0.96995,0.93798,0.7766,0.91781,0.90095,1.0031,1.1217,0.92265,0.95488,1.0721,0.87921,0.91326,0.98896,0.77342,0.90862,1.058,0.89121,1.0031,0.8915039671926541,0.92265,0.96073,0.9090082719752749,0.92237,0.93745,1.0094382476152022,1.0452,0.89718,0.9537434430138293,1.125
P15992,Heat shock protein 26,HSP26,sp|P15992|HSP26_YEAST Heat shock protein 26 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP26 PE=1 SV=3,NaN,0.9371,0.74171,NaN,21.686,2.8796,NaN,NaN,2.4878,1.4159,NaN,2.6449,NaN,0.57584,0.74171,2.7386,5.1971,1.5426,0.73411,0.39778,0.5424,0.97531,0.6845,0.82845,NaN,0.57584,3.7557,NaN,1.578,15.252,NaN,NaN,23.901,24.659,NaN,23.685,NaN,0.9371,3.7557,9.7718,20.631,7.5086,2.2185,2.7263,2.0118,2.9728,4.4587,2.5549,NaN,0.68777,5.1628,NaN,0.06229,4.8276,NaN,NaN,8.4882,15.967,NaN,8.4443,NaN,1.45397443912936,5.1628,3.6412,4.0894777736883,4.6232,3.1011,7.728572532653219,3.7938,3.0763,6.863889079552475,3.0758
P15938,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,PRP16,sp|P15938|PRP16_YEAST Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRP16 PE=1 SV=2,1.0191,1.0011,0.94144,NaN,NaN,0.90238,1.0011,0.92403,0.94199,NaN,NaN,NaN,1.0191,0.9709,0.94144,NaN,NaN,NaN,0.19103,NaN,NaN,NaN,NaN,0.41067,0.9371,0.9709,0.92092,NaN,NaN,0.89965,0.86449,0.85037,0.89584,NaN,NaN,NaN,0.9371,1.0011,0.92092,NaN,NaN,NaN,0.20805,NaN,NaN,NaN,NaN,0.42142,0.92314,0.99266,0.94465,NaN,NaN,0.98143,0.89856,0.97221,0.95859,NaN,NaN,NaN,0.92314,1.0073942739709467,0.94465,NaN,NaN,NaN,1.0315,NaN,NaN,NaN,NaN,1.0265
P15891,Actin-binding protein,ABP1,sp|P15891|ABP1_YEAST Actin-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ABP1 PE=1 SV=4,1.0119,1.0345,1.0231,0.97847,1.0761,0.99427,1.0902,1.0401,0.96774,0.96561,1.0872,0.92081,1.0119,1.078,1.0231,1.1014,1.1214,1.1901,1.0669,1.0865,1.0999,1.005,1.0759,1.0252,1.0837,1.078,1.1088,1.1183,1.091,1.1233,1.0235,1.0659,1.0911,1.0734,1.0904,1.1321,1.0837,1.0345,1.1088,1.2791,1.2797,1.2491,1.1008,1.1271,1.1486,1.1053,0.99969,1.0389,1.07,1.0232,1.0471,1.1141,0.97507,1.1194,0.94258,1.1478,1.106,1.0261,1.0316,1.0209,1.07,0.977326035965598,1.0471,1.045,1.11579746044498,1.0291,1.0686,1.0484927916120577,1.0302,1.094,0.9090909090909091,0.95704
P15873,Proliferating cell nuclear antigen,POL30,sp|P15873|PCNA_YEAST Proliferating cell nuclear antigen OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=POL30 PE=1 SV=1,1.0348,1.0286,0.95667,0.9877,1.0085,1.21,0.91552,1.3476,1.4595,0.92546,1.0904,1.2221,1.0348,1.0261,0.95667,0.968,0.93543,0.89364,0.84072,0.96866,0.88163,0.83587,0.90514,0.78327,0.95979,1.0261,0.92768,1.0622,1.0224,1.0009,1.0485,1.1912,0.95524,1.0006,1.0482,0.9983,0.95979,1.0286,0.92768,0.94641,0.90918,0.90896,0.88255,0.91162,0.86599,0.79797,0.84087,0.7894,0.93746,0.96411,0.96828,0.94383,0.97646,0.85609,0.72624,0.83243,0.95359,0.86962,1.1186,0.80485,0.93746,1.0372260426714794,0.96828,0.93504,0.9538344143456696,0.93809,1.0973,0.967305088024763,0.97788,1.0235,0.9406452826639075,0.98683
P15790,Casein kinase II subunit alpha,CKA1,sp|P15790|CSK21_YEAST Casein kinase II subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CKA1 PE=1 SV=1,1.0622,0.98424,1.0257,1.3696,1.4221,1.1348,NaN,1.3637,1.2707,1.8244,NaN,NaN,1.0622,0.94779,1.0257,1.1207,1.1335,NaN,NaN,0.84699,1.1219,1.1184,1.0159,1.1069,0.98412,0.94779,1.0335,0.93074,1.1547,1.1881,NaN,1.4605,1.4741,1.1473,NaN,NaN,0.98412,0.98424,1.0335,0.84683,1.321,NaN,NaN,1.0826,1.0036,0.79896,1.15,1.3539,0.88217,1.1113,0.90881,0.8836,0.77942,1.2523,NaN,1.0317,1.1414,0.6034,NaN,NaN,0.88217,0.8998470260055791,0.90881,0.86752,1.1134741506975916,NaN,NaN,1.2651821862348178,1.0743,0.83156,1.095290251916758,1.187
P15732,Ubiquitin-conjugating enzyme E2-16 kDa,UBC5,sp|P15732|UBC5_YEAST Ubiquitin-conjugating enzyme E2-16 kDa OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UBC5 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15731,Ubiquitin-conjugating enzyme E2 4,UBC4,sp|P15731|UBC4_YEAST Ubiquitin-conjugating enzyme E2 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UBC4 PE=1 SV=1,1.0744,1.0748,1.0032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.75295,1.0744,0.96383,1.0032,1.1103,1.019,0.97929,NaN,0.7497,1.0163,0.95257,0.62278,0.74086,0.92337,0.96383,0.88822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.95549,0.92337,1.0748,0.88822,0.88033,1.3057,1.0617,NaN,1.0903,1.0024,0.87258,0.78099,0.80932,0.90222,0.90766,0.78856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.101,0.90222,1.1017341295198642,0.78856,0.85747,1.093960245484679,1.1153,NaN,1.267539578923352,1.0936,0.77971,1.1107285268407547,1.1169
P15705,Heat shock protein STI1,STI1,sp|P15705|STI1_YEAST Heat shock protein STI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STI1 PE=1 SV=1,1.0787,1.0658,1.0284,1.356,1.3355,1.2932,1.689,1.8047,1.5955,1.8202,2.0394,1.7292,1.0787,1.1059,1.0284,1.0493,1.0438,1.0209,0.93597,0.91819,0.91955,0.85644,0.8927,0.86453,1.0517,1.1059,0.97325,1.3052,1.1366,1.1483,1.3582,1.1246,1.2608,1.2998,1.1417,1.3513,1.0517,1.0658,0.97325,1.185,1.1806,1.1003,1.1192,1.2179,1.1285,1.3132,1.2182,1.1652,0.97131,1.0383,0.92313,1.0017,0.89906,0.92912,0.84442,0.67188,0.87182,0.81323,0.59812,0.91067,0.97131,0.9631127805065973,0.92313,1.0641,1.1105805004275735,1.1111,1.2607,1.3733056841122266,1.2179,1.4784,1.3974677883674782,1.2572
P15703,"Glucan 1,3-beta-glucosidase",BGL2,"sp|P15703|BGL2_YEAST Glucan 1,3-beta-glucosidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BGL2 PE=1 SV=1",1.0145,1.037,1.0452,1.3539,1.1658,2.846,2.4139,1.2839,1.36,1.6744,1.1365,1.8978,1.0145,0.90677,1.0452,1.3122,1.2857,0.99179,1.1332,0.98023,1.163,0.75126,0.99329,1.3771,0.87577,0.90677,0.79288,1.9639,0.72742,0.76314,0.93152,0.83395,0.85595,0.6478,0.68908,1.1638,0.87577,1.037,0.79288,1.2754,0.90735,1.1035,1.0426,0.71526,0.74605,1.1932,0.91291,0.76751,0.93517,0.92601,0.78799,1.361,0.67105,0.28038,0.40626,0.67716,0.58624,0.35265,0.68617,0.59264,0.93517,1.0799019449034029,0.78799,0.98011,0.767518612326349,1.0846,0.95214,0.7227000072270001,0.58614,1.5057,0.7603406326034063,0.43633
P15700,Uridylate kinase,URA6,sp|P15700|KCY_YEAST Uridylate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA6 PE=1 SV=1,1.0763,0.98553,1.0906,0.93741,1.0173,1.1416,1.0673,1.2094,0.79824,1.0756,1.1117,1.0928,1.0763,1.0165,1.0906,1.0927,1.0646,1.0111,0.98468,1.1412,1.0334,0.92611,0.99438,0.91038,0.98146,1.0165,0.96423,1.0284,1.0196,0.99978,0.97471,1.0351,0.9462,1.1337,0.962,0.92229,0.98146,0.98553,0.96423,0.96554,0.90836,0.87875,0.90369,0.91577,0.8558,0.89171,0.81568,0.8497,0.93704,1.0126,0.89986,1.0819,1.0916,0.79932,0.89862,0.86405,0.90795,1.2309,1.0236,0.76674,0.93704,0.9875567845151096,0.89986,0.93376,0.8722958827634333,0.98118,1.0017,0.8269930532583526,0.8057,1.1278,0.78125,0.83604
P15646,rRNA 2-O-methyltransferase fibrillarin,NOP1,sp|P15646|FBRL_YEAST rRNA 2-O-methyltransferase fibrillarin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NOP1 PE=1 SV=1,0.97495,1.0128,0.89155,0.96039,0.91897,0.79647,1.0562,0.9247,0.81659,1.0746,0.90019,1.1178,0.97495,0.9355,0.89155,0.67422,0.70977,0.7263,0.61225,0.71395,0.73553,0.61471,0.69761,0.69932,0.96012,0.9355,0.94894,1.0271,1.0151,1.0083,1.0022,0.95216,0.93535,0.93898,1.0382,1.0583,0.96012,1.0128,0.94894,0.75019,0.75534,0.72762,0.67504,0.68706,0.745,0.74667,0.73740000000000006,0.69136,0.97554,0.93739,1.0416,1.0549,1.0722,1.1367,0.99567,1.217,1.156,0.85889,1.2757,0.90557,0.97554,1.066791836908864,1.0416,1.0576,1.0585146921839275,1.0195,0.99841,1.0402796271637815,0.96094,1.0662,0.9231053263177329,0.99231
P15625,Phenylalanine--tRNA ligase alpha subunit,FRS2,sp|P15625|SYFA_YEAST Phenylalanine--tRNA ligase alpha subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FRS2 PE=1 SV=3,1.0169,1.0603,1.0888,1.1739,1.0477,1.1578,1.2282,1.0315,1.1581,1.2096,1.1949,1.1956,1.0169,0.98853,1.0888,0.8556,0.8862,0.88328,0.75816,0.76062,0.77202,0.68107,0.72218,0.69895,0.99787,0.98853,1.0243,1.0462,1.0102,1.0317,1.0417,0.9567,0.97974000000000006,0.98332,1.054,1.0932,0.99787,1.0603,1.0243,0.85464,0.89273,0.87986,0.7543,0.75876999999999994,0.74647,0.65929,0.6878,0.65991,0.96121,0.9682,1.0165,0.95491,0.9618,0.87693,0.86208,0.96068,0.94558,0.91931,1.0594,0.91099,0.96121,1.032844453625284,1.0165,0.96321,1.0630268626888202,0.99724,1.0088,0.9815469179426777,0.94973,1.0596,0.9106638739641197,0.92444
P15624,Phenylalanine--tRNA ligase beta subunit,FRS1,sp|P15624|SYFB_YEAST Phenylalanine--tRNA ligase beta subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FRS1 PE=1 SV=3,0.95093,0.97063,0.9667,0.98643,0.93349,0.89444,1.0218,0.91959,1.1489,0.87829,0.83575,0.77155,0.95093,0.90088,0.9667,0.74092,0.74687,0.69431,0.61507,0.71168,0.67604,0.56156,0.5785,0.57908,0.95115,0.90088,1.0003,1.0018,0.95078,0.94132,0.98558,0.95888,0.9136,0.99933,1.0029,0.94544,0.95115,0.97063,1.0003,0.71473,0.73007,0.73248,0.62501,0.64424,0.68966,0.55758,0.57306,0.63228,0.98325,0.94039,1.0189,1.0416,1.0873,1.0248,1.0241,1.1833,0.91786,1.1286,1.099,1.2577,0.98325,1.0633885940939398,1.0189,1.0143,0.9981036031540074,1.0519,1.0199,0.9137426900584795,1.0218,0.98052,0.933968431867003,0.99474
P15565,"tRNA (guanine(26)-N(2))-dimethyltransferase, mitochondrial",TRM1,"sp|P15565|TRM1_YEAST tRNA (guanine(26)-N(2))-dimethyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRM1 PE=1 SV=1",1.0673,1.1416,1.0068,0.93704,0.96236,0.99006,1.0084,NaN,0.62342,0.98314,0.82269,0.88841,1.0673,0.92344,1.0068,0.83908,0.84186,0.76204,0.61835,0.74646,0.69874,0.54533,0.73849,0.47958,0.96402,0.92344,1.0564,0.89362,0.86828,0.72261,0.84626,NaN,0.40585,0.80536,0.61003,0.52093,0.96402,1.1416,1.0564,0.72456,0.82286,0.77011,0.46955,0.59951,0.55718,0.4056,0.53841,0.46519,0.91164,0.85183,0.98695,0.98411,1.0079,0.76207,0.83365,NaN,0.64472,0.79088,0.69202,0.66051,0.91164,1.1739431576723056,0.98695,0.86144,0.9491268033409263,0.96237,0.84948,0.7723797018614351,0.90078,0.73342,0.8509189925119128,0.94668
P15496,Isopentenyl-diphosphate Delta-isomerase,IDI1,sp|P15496|IDI1_YEAST Isopentenyl-diphosphate Delta-isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IDI1 PE=1 SV=2,1.0509,1.029,0.95578,0.63909,0.63547,0.70709,0.42055,0.39931,0.35534,0.51314,0.28841,0.25612,1.0509,1.1084,0.95578,0.7836,0.79036,0.75474,0.69317,0.68373,0.74008,0.59804,0.74342,0.6614,1.0301,1.1084,0.90537,0.73182,0.68561,0.63448,0.35008,0.53139,0.27484,0.34667,0.42938,0.26631,1.0301,1.029,0.90537,0.95622,0.72759,0.85174,0.81706,0.71344,0.72311,0.62823,0.71056,0.59967,0.97898,1.1182,0.90366,0.97206,0.90533,0.77658,0.77179,1.2829,0.70754,0.74428,1.0686,0.52221,0.97898,0.8942944017170452,0.90366,1.1856,0.9041591320072332,1.0348,1.11,0.963020030816641,0.91728,0.96388,0.954380606986066,0.9463
